id,title,duration_min,speakers_name,speakers_occupation,event,topics,views,page_url,published_date,recorded_date,subtitle_languages,likes
2401,How frustration can make us more creative,15.366666666666667,Tim Harford,"Economist, journalist, broadcaster",TEDGlobal>London,"music, collaboration, innovation, creativity, cognitive science, psychology, success, work, potential",4111212,https://www.ted.com/talks/tim_harford_how_frustration_can_make_us_more_creative,2016-01-11,2015-09-29,"Greek, English, Chinese, Yue, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Indonesian, Spanish, Russian, Dutch, Portuguese, Chinese, Traditional, Turkish, Chinese, Simplified, Thai, Romanian, Polish, French, Bulgarian, German, Persian, Japanese, Hebrew, Serbian, Korean, Slovak, Malay, Ukrainian, Hungarian, Swedish",123000
24293,How do carbohydrates impact your health?,4.916666666666667,Richard Wood,Educator,TED-Ed,"disease, food, health, health care, biology, public health, disability, TED-Ed, animation, human body, exercise",5404861,https://www.ted.com/talks/richard_j_wood_how_do_carbohydrates_impact_your_health,2019-03-01,2016-01-11,"Marathi, Greek, English, Vietnamese, Catalan, Italian, Arabic, Portuguese, Brazilian, Indonesian, Spanish, Russian, Portuguese, Chinese, Traditional, Turkish, Latvian, Chinese, Simplified, Thai, Romanian, Polish, German, Persian, Japanese, Hebrew, Serbian, Korean, Swedish, Bulgarian, Mongolian, French, Northern Kurdish (Kurmanji), Hungarian, Kurdish (Central), Czech",162000
2406,"I love being a police officer, but we need reform",12.95,Melvin Russell,"Chief of the Community Partnership Division, Baltimore Police Department",TEDxMidAtlantic,"community, religion, violence, law, society, crime, TEDx, policy, justice system",1250542,https://www.ted.com/talks/melvin_russell_i_love_being_a_police_officer_but_we_need_reform,2016-01-12,2015-09-25,"English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Spanish, Russian, Dutch, Portuguese, Chinese, Traditional, Turkish, Chinese, Simplified, French, Japanese, Hebrew, Serbian, Korean, Ukrainian, Polish",37000
2400,Let's design social media that drives real change,13.4,Wael Ghonim,Internet activist and computer engineer,TEDGlobal>Geneva,"politics, entrepreneur, computers, media, collaboration, innovation, social change, communication, activism, society, democracy, social media, Internet, government, Egypt, Middle East",1807869,https://www.ted.com/talks/wael_ghonim_let_s_design_social_media_that_drives_real_change,2016-01-13,2015-12-08,"English, Vietnamese, Italian, Swedish, Arabic, Portuguese, Brazilian, Indonesian, Spanish, Russian, Portuguese, Chinese, Simplified, Chinese, Traditional, Turkish, Romanian, Polish, French, Bulgarian, German, Danish, Persian, Hungarian, Japanese, Hebrew, Serbian, Korean, Macedonian, Ukrainian, Dutch, Thai, Greek",54000
2375,Why great architecture should tell a story,16.266666666666666,Ole Scheeren,Architect,TEDGlobal>London,"environment, technology, design, engineering, industrial design, architecture, cities, collaboration, urban planning, innovation, creativity, community, work, productivity, public space",2776671,https://www.ted.com/talks/ole_scheeren_why_great_architecture_should_tell_a_story,2016-01-14,2015-09-29,"Polish, English, Chinese, Yue, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Spanish, Russian, Chinese, Traditional, Turkish, Chinese, Simplified, Lithuanian, Romanian, French, Ukrainian, Croatian, German, Japanese, Hebrew, Serbian, Korean, Portuguese, Dutch, Persian",83000
24295,How statistics can be misleading,4.066666666666666,Mark Liddell,Educator,TED-Ed,"economics, education, statistics, math, government, data, TED-Ed, animation",1223367,https://www.ted.com/talks/mark_liddell_how_statistics_can_be_misleading,2020-01-16,2016-01-14,"Greek, Italian, English, Vietnamese, Arabic, Portuguese, Brazilian, Spanish, Russian, Portuguese, Chinese, Traditional, Chinese, Simplified, Thai, Polish, French, Bulgarian, German, Hungarian, Persian, Japanese, Hebrew, Serbian, Korean, Ukrainian, Turkish, Romanian, Kurdish (Central), Indonesian, Czech",36000
2409,The mysterious world of underwater caves,6.65,Jill Heinerth,Cave diver,TEDYouth 2015,"climate change, environment, science, sustainability, technology, robots, nature, exploration, water, curiosity, ecology, plants",2013996,https://www.ted.com/talks/jill_heinerth_the_mysterious_world_of_underwater_caves,2016-01-15,2015-11-14,"Polish, Greek, English, Vietnamese, Italian, Portuguese, Brazilian, Czech, Indonesian, Spanish, Russian, Dutch, Portuguese, Chinese, Simplified, Chinese, Traditional, Turkish, Croatian, Lithuanian, Thai, Romanian, Belarusian, French, Bulgarian, German, Persian, Hindi, Bosnian, Japanese, Hebrew, Malayalam, Albanian, Korean, Macedonian, Arabic, Ukrainian, Serbian, Burmese, Galician",60000
2412,How we can make crops survive without water,13.766666666666667,Jill Farrant,Professor of molecular and cell biology,TEDGlobal>Geneva,"climate change, environment, global issues, science, sustainability, biotech, genetics, food, Africa, nature, biology, potential, water, microbiology, chemistry, agriculture, weather, botany, bioethics, plants, gardening",1654719,https://www.ted.com/talks/jill_farrant_how_we_can_make_crops_survive_without_water,2016-01-19,2015-12-08,"English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Czech, Spanish, Russian, Dutch, Portuguese, Chinese, Traditional, Turkish, Chinese, Simplified, Lithuanian, Thai, Romanian, French, Persian, Hindi, Hungarian, Japanese, Hebrew, Serbian, Korean, Ukrainian, Polish",49000
2411,Can a computer write poetry?,10.766666666666667,Oscar Schwartz,Writer and poet,TEDxYouth@Sydney,"technology, computers, creativity, poetry, language, AI, literature, writing, identity, TEDx, algorithm",934443,https://www.ted.com/talks/oscar_schwartz_can_a_computer_write_poetry,2016-01-20,2015-05-20,"Greek, English, Italian, Portuguese, Brazilian, Czech, Galician, Spanish, Russian, Dutch, Portuguese, Chinese, Traditional, Turkish, Chinese, Simplified, Lithuanian, Thai, French, Bulgarian, German, Persian, Hungarian, Japanese, Hebrew, Albanian, Korean, Swedish, Serbian, Burmese, Ukrainian, Vietnamese, Arabic, Croatian, Polish",28000
2407,How I turned a deadly plant into a thriving business,7.116666666666666,Achenyo Idachaba,Green entrepreneur,TEDWomen 2015,"environment, sustainability, engineering, business, innovation, Africa, nature, creativity, product design, potential, water, women in business, agriculture, botany, plants",1892922,https://www.ted.com/talks/achenyo_idachaba_how_i_turned_a_deadly_plant_into_a_thriving_business,2016-01-21,2015-05-27,"English, Vietnamese, Italian, Arabic, Portuguese, Brazilian, Czech, Indonesian, Spanish, Russian, Dutch, Portuguese, Chinese, Traditional, Turkish, Chinese, Simplified, Thai, Romanian, French, Ukrainian, Hungarian, Persian, Hindi, Japanese, Hebrew, Telugu, Serbian, Korean, Slovak, Burmese, Galician, Polish",56000
